Question,Correct Answer,Correct Index,Option A,Option B,Option C,Option D
"In the 1985 animated feature film version of the anime classic Fist of the North Star, what character defeats Shin?",Raoh,2,Kenshiro,Raoh,Rei,Ken
"The famous Île Notre-Dame, an artificial island built from earth excavated for a metropolitan railway, is located in which country?",Canada,2,England,Canada,France,Switzerland
What type of government does Norway have?,Constitutional monarchy,2,Absolute monarchy,Constitutional monarchy,Democratic republic,Presidential republic
When was the animated feature Aladdin released?,"November 25, 1992",1,"November 25, 1992","June 10, 1993","September 24, 1992","April 14, 1991"
"According to a legend, what preacher was killed by pagans at the northern city of Dokkum in 754?",Bonifatius,4,Clovis,Patrick (Patricius),Radboud,Bonifatius
"In 1972, The Eagles struck gold with this song written by 70s singing sensation Jackson Browne.",Take It Easy,3,Hotel California,Desperado,Take It Easy,Long Run
The term Death Zone refers to what altitude?,"above 8,000 m",2,"above 8,100 m","above 8,000 m","above 7,900 m","above 7,500 m"
In 1962 he became the drummer for The Rolling Stones.,Charlie Watts,1,Charlie Watts,"Dr, Chud",Buddy Salzman,Damon Che
Who was the first Russian tsar of the Romanov dynasty?,Michael,3,Nicholas,Alexander,Michael,Serge
Who sang the 70s song I Love the Nightlife (Disco Round)?,Alicia Bridges,2,Amber Lynn,Alicia Bridges,Candy Samples,Samantha Fox
Panteras lead singer Phil Anselmo is originally from what state?,Louisiana,4,Mississippi,California,Texas,Louisiana
On what day in July did the Space Shuttle Discovery touch down on Earth after a 13-day trip to the International Space Station?,"July 17, 2006",2,"July 10, 2006","July 17, 2006","July 11, 2006","July 12, 2006"
"Which nations catholic bishops issued the famous letter to their German counterparts, in which they forgave and asked for forgiveness?",Poland,2,Hungary,Poland,Romania,Czechoslovakia
Which Hollywood actor is famous as a founding member and frontman of the band 30 Seconds to Mars?,Jared Leto,4,Keanu Reeves,Bruce Willis,Kevin Bacon,Jared Leto
"This American explorer, a former member of the US Senate, rediscovered the Inca settlement of Machu Picchu.",Hiram Bingham,1,Hiram Bingham,Richard Basset,Dean Barkley,Judah Benjamin
A windspeed of 100 feet above the ground was observed in 1999 in what Oklahoma city?,Moore,3,Lawton,Norman,Moore,Midwest City
"Identify the 1986 horror movie from this quote: And there, ladies and gentlemen, on the other side of the lake we have the famous Villa Diodati where Lord Byron, greatest living English poet, resides in exile.",Gothic,2,Home Sweet Home,Gothic,Frankenstein,Ghost Story
Ozzys torso is covered with eyes and mouths.,Ozzmosis,2,The Ozzman Cometh,Ozzmosis,Blizzard of Ozz,Down to Earth
Which of these charming actors stars in the 2009 movie Public Enemies?,Johnny Depp,1,Johnny Depp,John Travolta,Brad Pitt,Tom Cruise
What day in August did Bon Jovi sing about in a 1996 song?,7th,2,17th,7th,8th,18th
"This trumpeter was the first bandleader that we know of that played improvised music. He was the top trumpeter of New Orleans of his time. He lived 1877-1931. His loud , clean tone was prominent in jazz until his health failed and he was committed to a mental institution in 1907. Who was he?",Buddy Bolden,4,Bunny berrigan,King Ory,Louis Armstrong,Buddy Bolden
The Mayflower returned to England in 1621.,True,1,True,False,N/A,N/A
This singer with first name for surname sang lead vocals for the popular band Journey in the 1980s,Steve Perry,3,Joe Jackson,Randy Jackson,Steve Perry,Steven Tyler
This Alan Carr movie was the first movie to win the Razzie for Years Worst Movie.,Cant Stop the Music,4,Grease,Magic Night,Grease 2,Cant Stop the Music
This singer died at the age of 27 and left us with a song called Mercedes Benz.,Janis Joplin,1,Janis Joplin,Grace Slick,Karen Carpenter,Janis Ian
"In The Perfect Storm, who are the two crew members who jump in the water to save Murphs life when he is pulled overboard by a line that gets hooked through his hand?",Sully and Bobby,1,Sully and Bobby,Bugsy and Sully,Bobby and Billy,Billy and Alfred Peirre
"In this year the U.S.A. upset the Soviet Union in Olympic hockey, Call Me by Blondie was the #1 song, and Star Wars: Episode V - The Empire Strikes Back came out.",1980,3,1983,1986,1980,1982
"What is the nickname of Cheechs cousin, Duane Mendoza, who parties all night with Chong in Cheech and Chongs Next Movie?",Red,4,Fred,Jose,Pedro,Red
For which of the following two movies did Dustin Hoffman win Oscars?,Kramer vs. Kramer and Rain Man,3,Midnight Cowboy and Lenny,Wag the Dog and Kramer vs. Kramer,Kramer vs. Kramer and Rain Man,Tootsie and The Graduate
Which one of these ships does Luke Skywalker fly?,X-wing,2,Y-Wing,X-wing,Bomber,V-Wing
"Rokko island, constructed between 1973 and 1992, is an artificial island situated in which country?",Japan,4,France,China,The Netherlands,Japan
"The Menomonee Valley along the Menomonee River in Milwaukee, Wisconsin has what peculiar shape?",U-shape,3,S-shape,Y-shape,U-shape,V-shape
Which band performed this Grammy Award-winning song?,Soundgarden,1,Soundgarden,Pearl Jam,Stone Temple Pilots,Alice In Chains
In what African country was the 1950 movie The Black Rose mostly filmed?,Morocco,1,Morocco,Egypt,Algeria,All of these
"Jody Watley was a part of this disco-driven group, founded in the late 70s.",Shalamar,3,K. C and The Sunshine Band,Chic,Shalamar,Mary Jane Girls
Abraham Lincoln signed the Emancipation Proclamation shortly after the Battle of Gettysburg.,False,1,False,True,N/A,N/A
"The motto of  alternative rock band 30 Seconds to Mars is Provehito In Altum, which means what?",Launch Forth Into The Deep,2,Let Them Know,Launch Forth Into The Deep,"Live Long, Die Satisfied",Preach to the Dead
Wasted Days and Wasted Nights was one of the biggest songs ever for this singer in 1975.,Freddy Fender,4,Eddie Holman,Joe Lagalante,Mac Davis,Freddy Fender
Daddy Warbucks is the leading male character in which Broadway show suitable for children?,Annie,1,Annie,Cats,Beauty and the Beast,Little Mary Sunshine
"What type of voice does blues, soul and jazz singer Etta James have?",Contralto,2,None of these,Contralto,Soprano,Mezzo-soprano
What was the original height of the Great Pyramid?,481 feet,1,481 feet,565 feet,380 feet,600 feet
General Dwight Eisenhower headed an operation whose aim was to gain control of Morocco and Algiers. What was the name of the operation?,Operation Torch,2,Operation Torchlight,Operation Torch,Operation Lantern,Operation Cresset
Where was actor Thomas Lennon born?,Chicago,3,Virgina,Florida,Chicago,New York
"In Memento, Teddys phone number 555-0134 is identical to the number of which character from the movie Fight Club?",Marla Singer,3,The Narrator,Robert Bob Paulson,Marla Singer,Tyler Durden
"On the film The Break-Up, when do Gary and Brooke’s friends conclude their relationship is over?",At the games night,1,At the games night,At the couple bowling night,At the baseball game,At an art gallery
What year saw the debut of The Incredible Hulk TV series?,1978,3,1982,1975,1978,1980
Joe Pesci appears in the movie Raging Bull.,True,1,True,False,N/A,N/A
Who was the first person in space?,Yuri Gagarin,4,Alexey Ivanovich,Alan Shepard,John Glen,Yuri Gagarin
Name the winner of the Grammy Award for Record of the Year in 1995.,All I Wanna Do by Sheryl Crow,2,He Thinks Hell Keep Her by Mary Chapin Carpenter,All I Wanna Do by Sheryl Crow,Streets of Philadelphia by Bruce Springsteen,Ill Make Love to You by Boyz II Men
What country gained independence from the British Mandate for Palestine in 1948?,Israel,4,Syria,Sierra Leone,Jordan,Israel
"This musician, author of the best-selling autobiography, Riders On The Storm, played the drums for The Doors.",John Densmore,1,John Densmore,Keith Moon,Ray Manzarek,Robby Krieger
What is the difference between Felix and Oscar from the 1968 movie The Odd Couple?,"Felix is a neatfreak, and Oscar is a pig.",4,"Oscar loves animals, and Felix loves hunting.","Felix is a playboy, and Oscar is very shy.","Oscar is wealthy, and Felix is dirt-poor.","Felix is a neatfreak, and Oscar is a pig."
Little Stevie Wonder played the harmonica to this song. Can you figure out the body part mentioned in its title?,Finger,3,Arms,Chin,Finger,Elbow
What influential singer was Whitney Houstons godmother?,Aretha Franklin,1,Aretha Franklin,Chaka Khan,Roberta Flack,Dionne Warwick
This musician sang about an Uptown Girl in 1983.,Billy Joel,4,Bryan Adams,Paul Simon,Elton John,Billy Joel
"After unsuccessful  talks about oil production and debt repayment, Iraq occupied Kuwait.  In January 1991 the US launched an air attack against military targets in Iraq and Kuwait in this operation.",Desert Storm,4,Matador,BOLERO,Determined Force,Desert Storm
"This title, which in English means the only one,  was used by the ruler of the Inca Empire.",Sapa Inca,2,Manco Inca,Sapa Inca,Tupac Inca,Titu Inca
What was the name of the character portrayed by Nick Nolte in the hit movie 48 Hrs.?,Jack Cates,2,Jack Bates,Jack Cates,Jack Tors,Jack Lynsmith
Buck Russell,Uncle Buck,3,Mr. Mom,"Planes, Trains  Automobiles",Uncle Buck,Shes Having a Baby
Which pianist’s music does the musical Aint Misbehaving feature?,Thomas Waller,1,Thomas Waller,Cedar Walton,Earl Hines,Jelly Roll Morton
"In the first verse of the song Al N Yetta, Al and Yetta are sitting together doing what?",watching TV,4,playing poker,playing snooker,making love,watching TV
George Lucas makes a cameo appearance in Episode 3 of Star Wars as which character?,Baron Papanoida,3,Count Vallorum,Baron Onasi,Baron Papanoida,Atton Rand
"The original members of the hit making group Creedence Clearwater Revival were John Fogerty, Tom Fogerty, Stu Cook, and who else?",Doug Clifford,4,Steve Gaines,John Panozzo,Dave Fogerty,Doug Clifford
What is the length of the 2007 movie Ghost Rider?,114 minutes,3,122 minutes,91 minutes,114 minutes,100 minutes
"This woman was a Victorian era feminist, especially concerned with the welfare of working girls.",Josephine Butler,2,Anne Clough,Josephine Butler,Emily Davies,Frances Buss
This artist had a 1 number hit with Not On Your Love in 1995.,Jeff Carson,3,David Lee Murphy,Pam Tillis,Jeff Carson,Mary Chapin Carpenter
What is the name of the fictional planet that Anakin and Obi-Wan battle each other on?,Mustafar,1,Mustafar,Geonosis,Hoth,Nemondia
Approximately how long was The Spanish-American War?,3-4 months,4,2 years,3 years,11-12 months,3-4 months
The movie The Pursuit of Happyness was released in 2008.,False,2,True,False,N/A,N/A
What was the name of Leroys nemesis in the martial arts movie The Last Dragon?,Shonuff,1,Shonuff,Johnny,Laura,Mr. Miyagi
Panasonic developed the VHS type of tape and Sony developed this type.,BetaMax,1,BetaMax,Aquaos,TriType,True-Tape
"Which band had Philip Oakey, Susan Sully, Joanne Catherall and Ian Burden as members?",The Human League,4,ABC,Heaven 17,Simply Red,The Human League
"This is the lowest lake on Earth, situated at about 400 meters below sea level on the border between Israel and Jordan.",Dead Sea,4,Issyk-Kul,Balkhash,Urmia,Dead Sea
"In the early 1950s, which of the following became the third country to have an atomic bomb?",England,1,England,France,Russia(the USSR),The Peoples Republic of China
"What kind of animal character is Don Lino, voiced by Robert De Niro in the 2004 comedy movie Shark Tale?",Shark,3,Octopus,Manta ray,Shark,Blue whale
What rock band recorded the song Wild Horses in 1971?,The Rolling Stones,4,The Beatles,Deep Purple,Bon Jovi,The Rolling Stones
On what date did Whitney Houston and Bobby Brown marry?,"July 18, 1992",3,"June 18, 1992","August 18, 1992","July 18, 1992","May 18, 1992"
"Janis Joplin recorded Bobbie McGee in 1970, a few days before her death. Can you name the singer of King of the Road, who had a hit with the song Bobbie McGeea year before Joplin did.",Roger Miller,2,George Jones,Roger Miller,Merle Haggard,Conway Twitty
"What was the name of John Candys character in the movie Planes, Trains  Automobiles?",Del Griffith,2,Del Griffin,Del Griffith,Del Griffing,Dale Griffith
"Which battle, fought in Europe during WWII, started on December 16, 1944?",Battle of the Bulge,1,Battle of the Bulge,Battle of Normandy (D-Day),Battle of Berlin,Battle of Stalingrad
What was the relationship between Attila and Bleda who ruled the Huns together until 445?,They were brothers,3,They were not related,They were cousins,They were brothers,They were father and son
Who was the father of Alexander the Great?,Philip II,3,Hercalesian III,Triton,Philip II,Lysander
"Sometimes known as The Queen of Motown, Mary Wells had several big hits until her departure from the label in 1965. Which of these was her first?",The One Who Really Loves You,1,The One Who Really Loves You,Two Lovers,You Beat Me to the Punch,Your Old Standby
